title1,title2,address1,address2,semantic_similarity
Baron's Variety Lounge ,V.I.P Club,1116 Walnut ,,0.4758286
Foster House ,Attic ,207 S. Quince ,5710 Germantown ,0.47562906
Foster House ,Attic ,207 S. Quince ,5710 Germantown ,0.47562906
Foster House ,Attic ,207 S. Quince ,5710 Germantown,0.47562903
Attic ,Foster House ,5710 Germantown,207 S. Quince ,0.47562894
Westbury Hotel Bar ,Teddy's Bar ,217 S. 15th St. ,418 S. 18th St. ,0.47256374
Teddy's Bar ,Westbury Hotel Bar ,418 S. 18th St. ,271 S. 15th St. ,0.47256374
Teddy's Bar ,Westbury Hotel Bar ,418 S. 18th St. ,271 S. 15th St. ,0.47256374
Teddy's bar,Westbury Hotel Bar ,Broad & Olney,271 S. 15th St. ,0.47256374
Teddy's Bar ,Westbury Hotel Bar ,418 S. 18th St. ,271 S. 15th St. ,0.47256374
Westbury Hotel Bar ,Teddy's bar,217 S. 15th St. ,Broad & Olney,0.4725636
Westbury Hotel Bar ,Teddy's Bar ,217 S. 15th St. ,418 S. 18th St. ,0.4725636
Westbury Hotel Bar ,Teddy's bar,271 S. 15th St. ,Broad & Olney,0.4725636
Westbury Hotel Bar ,Teddy's Bar ,271 S. 15th St. ,418 S. 18th St. ,0.4725636
R.D. Club,Westbury Hotel Bar ,13th & Locust,217 S. 15th St. ,0.47096127
R.D. Club,Westbury Hotel Bar ,13th & Locust,271 S. 15th St. ,0.47096127
R.D. Club,Westbury Hotel Bar ,13th & Locust,271 S. 15th St. ,0.47096118
Carey's,Frank's ,23rd & Fairmount,347 S. 13th ,0.46458095
Ritz Bar,Teddy's Bar ,13th near Market,418 S. 18th St. ,0.46262774
Ritz Bar,Teddy's bar,13th near Market,Broad & Olney,0.46262774
Ritz Bar,Teddy's Bar ,13th near Market,418 S. 18th St. ,0.46262774
Ritz Bar,Teddy's bar,13th near Market,Broad & Olney,0.46262774
Ritz Bar,Teddy's Bar ,13th near Market,418 S. 18th St. ,0.46262774
Ritz Bar,Teddy's Bar ,13th near Market,418 S. 18th St. ,0.46262768
Baron's Variety Lounge ,R.D. Club,1116 Walnut ,13th & Locust,0.45934927
Baron's Variety Lounge ,Westbury Hotel Bar ,1116 Walnut ,217 S. 15th St. ,0.45574784
Baron's Variety Lounge ,Westbury Hotel Bar ,1116 Walnut ,271 S. 15th St. ,0.45574784
Baron's Variety Lounge ,Westbury Hotel Bar ,1116 Walnut ,271 S. 15th St. ,0.45574778
C.R. Club ,SK Bar ,6400 Market ,2 S. Mole St. ,0.45002127
V.I.P. Club,Westbury Hotel Bar ,,217 S. 15th St. ,0.44783646
V.I.P. Club,Westbury Hotel Bar ,,271 S. 15th St. ,0.44783646
V.I.P. Club,Westbury Hotel Bar ,,271 S. 15th St. ,0.44783646
Westbury Hotel Bar ,V.I.P Club,217 S. 15th St. ,,0.44783646
V.I.P Club,Westbury Hotel Bar ,,271 S. 15th St. ,0.44783646
V.I.P Club,Westbury Hotel Bar ,,271 S. 15th St. ,0.44783646
Jay's Place Book Store ,Dewey's Coffee Shop,1344 Spruce St. ,13th & Chancellor,0.44060504
Jay's Place Book Store ,Dewey's Coffee Shop,1344 Spruce St. ,17th & Chancelor,0.44060504
Dewey's Coffee Shop,Jay's Place Book Store ,13th & Chancellor,1344 Spruce St. ,0.44060493
Dewey's Coffee Shop,Jay's Place Book Store ,17th & Chancellor,1344 Spruce St. ,0.44060493
Parker Hotel Bar,Ritz Bar,13th & Spruce,13th near Market,0.43718803
Parker Hotel Bar,Ritz Bar,13th & Spruce,13th near Market,0.43718803
Parker Hotel Bar,Ritz Bar,13th & Spruce,13th near Market,0.43718794
Ritz Bar,Parker Hotel Bar,13th near Market,13th & Spruce,0.43718794
